Dive Time (s)	Depth (m)	PPO2 - Setpoint (Bar)	PPO2 - C1 Cell 1 (Bar)	PPO2 - C1 Cell 2 (Bar)	PPO2 - C1 Cell 3 (Bar)	PPO2 - C1 Measured (Bar)	PPO2 - C2 Cell 1 (Bar)	PPO2 - C2 Cell 2 (Bar)	PPO2 - C2 Cell 3 (Bar)	PPO2 - C2 Measured (Bar)	C1 Battery 1 (Volts)	C1 Battery 2 (Volts)	C2 Battery 1 (Volts)	C2 Battery 2 (Volts)	Ambient Temp. (Celsius)	OTU Exposure (%)	CNS Exposure (%)	Deco Ceiling (m)	Gradient Factor
0	0.0	0.70	0.81	0.84	0.76	0.82	0.81	0.84	0.77	0.82	5.35	5.47	5.33	5.47	19.80	0.0	0.0	0.0	0.00
0	1.2	0.70	0.71	0.70	0.68	0.70	0.71	0.70	0.69	0.71	5.28	5.47	5.25	5.47	19.80	0.0	0.0	0.0	0.00
0	0.0	0.70	0.71	0.70	0.68	0.70	0.71	0.70	0.69	0.71	5.28	5.47	5.25	5.47	19.80	0.0	0.0	0.0	0.00
0	1.2	0.70	0.71	0.70	0.68	0.70	0.71	0.70	0.69	0.71	5.28	5.47	5.25	5.47	16.20	0.0	0.0	0.0	0.00
0	1.2	0.70	0.71	0.70	0.68	0.70	0.71	0.70	0.69	0.71	5.28	5.47	5.25	5.47	16.20	0.0	0.0	0.0	85.00
10	1.6	0.70	0.72	0.72	0.70	0.72	0.72	0.72	0.70	0.72	5.28	5.47	5.25	5.47	16.20	0.0	0.0	0.0	85.00
20	1.6	0.70	0.71	0.70	0.68	0.70	0.71	0.70	0.69	0.71	5.28	5.47	5.25	5.47	16.20	0.0	0.0	0.0	85.00
30	1.7	0.70	0.71	0.69	0.68	0.69	0.71	0.69	0.69	0.69	5.28	5.47	5.25	5.47	16.20	0.0	0.0	0.0	85.00
40	1.8	0.70	0.68	0.66	0.64	0.68	0.68	0.66	0.65	0.66	5.28	5.47	5.25	5.47	16.20	0.0	0.0	0.0	85.00
50	1.6	0.70	0.68	0.66	0.64	0.68	0.68	0.66	0.65	0.66	5.28	5.47	5.25	5.47	16.20	0.0	0.0	0.0	85.00
60	2.4	0.70	0.69	0.69	0.67	0.69	0.69	0.69	0.68	0.69	5.28	5.47	5.25	5.47	15.80	0.0	0.0	0.0	85.00
70	3.5	0.70	0.69	0.69	0.68	0.69	0.69	0.69	0.69	0.69	5.28	5.47	5.25	5.47	15.80	0.0	0.0	0.0	85.00
80	4.2	0.70	0.72	0.70	0.70	0.70	0.72	0.70	0.70	0.70	5.28	5.47	5.25	5.47	15.80	0.0	0.0	0.0	85.00
90	4.0	0.70	0.71	0.70	0.68	0.70	0.71	0.70	0.68	0.70	5.28	5.47	5.25	5.47	15.80	0.0	0.0	0.0	85.00
100	4.3	0.70	0.65	0.63	0.62	0.63	0.67	0.63	0.63	0.63	5.28	5.47	5.25	5.47	15.80	0.0	0.0	0.0	85.00
110	4.4	0.70	0.71	0.67	0.66	0.67	0.71	0.67	0.67	0.67	5.28	5.47	5.25	5.47	15.80	0.0	0.0	0.0	85.00
120	4.5	0.70	0.69	0.67	0.66	0.67	0.69	0.67	0.67	0.67	5.28	5.47	5.25	5.47	15.40	0.0	0.0	0.0	85.00
130	4.9	0.70	0.69	0.69	0.68	0.69	0.69	0.69	0.69	0.69	5.28	5.47	5.25	5.47	15.40	0.0	0.0	0.0	85.00
140	4.5	0.70	0.71	0.69	0.68	0.69	0.71	0.69	0.68	0.69	5.28	5.47	5.25	5.47	15.40	0.0	0.0	0.0	85.00
150	4.2	0.70	0.71	0.69	0.67	0.68	0.71	0.69	0.68	0.69	5.28	5.47	5.25	5.47	15.40	0.0	0.0	0.0	85.00
160	4.5	0.70	0.71	0.70	0.68	0.70	0.71	0.70	0.68	0.70	5.28	5.47	5.25	5.47	15.40	0.0	0.0	0.0	85.00
170	4.8	0.70	0.72	0.72	0.70	0.72	0.72	0.72	0.70	0.72	5.28	5.47	5.25	5.47	15.40	0.0	0.0	0.0	85.00
180	4.8	0.70	0.69	0.67	0.66	0.67	0.69	0.67	0.67	0.67	5.28	5.47	5.25	5.47	15.20	0.0	0.0	0.0	85.00
190	4.6	0.70	0.68	0.67	0.66	0.68	0.68	0.67	0.67	0.67	5.28	5.47	5.25	5.47	15.20	0.0	0.0	0.0	85.00
200	4.9	0.70	0.69	0.67	0.66	0.67	0.69	0.67	0.67	0.67	5.28	5.47	5.25	5.47	15.20	0.0	0.0	0.0	85.00
210	4.9	0.70	0.69	0.69	0.67	0.69	0.69	0.69	0.68	0.69	5.28	5.47	5.25	5.47	15.20	0.0	0.0	0.0	85.00
220	5.1	0.70	0.69	0.70	0.68	0.69	0.71	0.70	0.69	0.71	5.28	5.47	5.25	5.47	15.20	0.0	0.0	0.0	85.00
230	5.0	0.70	0.69	0.69	0.67	0.69	0.69	0.69	0.68	0.69	5.28	5.47	5.25	5.47	15.20	0.0	0.0	0.0	85.00
240	5.3	0.70	0.72	0.72	0.70	0.72	0.72	0.72	0.70	0.72	5.28	5.47	5.25	5.47	14.90	0.0	0.0	0.0	85.00
250	5.6	0.70	0.71	0.70	0.70	0.70	0.71	0.70	0.69	0.71	5.28	5.47	5.25	5.47	14.90	0.0	0.0	0.0	85.00
260	5.6	0.70	0.68	0.66	0.66	0.66	0.68	0.66	0.67	0.68	5.28	5.47	5.25	5.47	14.90	0.0	0.0	0.0	85.00
270	5.2	0.70	0.68	0.67	0.66	0.68	0.68	0.67	0.67	0.67	5.28	5.47	5.25	5.47	14.90	0.0	0.0	0.0	85.00
280	4.9	0.70	0.69	0.67	0.66	0.67	0.69	0.67	0.67	0.67	5.28	5.47	5.25	5.47	14.90	0.0	0.0	0.0	85.00
290	4.9	0.70	0.69	0.67	0.66	0.67	0.69	0.67	0.67	0.67	5.28	5.47	5.25	5.47	14.90	0.0	0.0	0.0	85.00
300	4.7	0.70	0.68	0.67	0.67	0.67	0.68	0.69	0.67	0.69	5.28	5.47	5.25	5.47	14.70	0.0	0.0	0.0	85.00
310	4.9	0.70	0.69	0.69	0.67	0.69	0.69	0.69	0.68	0.69	5.28	5.47	5.25	5.47	14.70	0.0	0.0	0.0	85.00
320	4.9	0.70	0.68	0.67	0.67	0.67	0.68	0.67	0.68	0.68	5.28	5.47	5.25	5.47	14.70	0.0	0.0	0.0	85.00
330	5.2	0.70	0.71	0.70	0.68	0.70	0.71	0.69	0.69	0.69	5.28	5.47	5.25	5.47	14.70	0.0	0.0	0.0	85.00
340	5.6	0.70	0.71	0.70	0.70	0.70	0.71	0.70	0.70	0.70	5.28	5.47	5.25	5.47	14.70	0.0	0.0	0.0	85.00
350	5.6	0.70	1.20	1.25	1.18	1.19	1.20	1.25	1.19	1.19	5.28	5.47	5.25	5.47	14.70	0.0	0.0	0.0	85.00
360	5.6	0.70	1.44	1.46	1.43	1.44	1.44	1.46	1.44	1.44	5.28	5.47	5.25	5.47	14.60	1.0	1.0	0.0	85.00
370	5.4	0.70	1.41	1.41	1.41	1.41	1.41	1.41	1.43	1.41	5.28	5.47	5.25	5.47	14.60	1.0	1.0	0.0	85.00
380	5.8	0.70	0.61	0.58	0.63	0.62	0.62	0.58	0.64	0.63	5.28	5.47	5.25	5.47	14.60	1.0	1.0	0.0	85.00
390	6.0	0.70	0.85	0.81	0.78	0.80	0.85	0.81	0.79	0.80	5.28	5.47	5.25	5.47	14.60	1.0	1.0	0.0	85.00
400	6.3	0.70	0.74	0.73	0.73	0.73	0.74	0.73	0.74	0.74	5.28	5.47	5.25	5.47	14.60	1.0	1.0	0.0	85.00
410	6.6	0.70	0.75	0.74	0.73	0.75	0.75	0.74	0.74	0.74	5.28	5.47	5.25	5.47	14.60	1.0	1.0	0.0	85.00
420	6.9	0.70	0.75	0.74	0.73	0.75	0.75	0.74	0.74	0.74	5.28	5.47	5.25	5.47	14.40	1.0	1.0	0.0	85.00
430	7.3	0.70	0.71	0.70	0.70	0.70	0.71	0.70	0.70	0.70	5.28	5.47	5.25	5.47	14.40	1.0	1.0	0.0	85.00
440	7.5	0.70	0.71	0.70	0.70	0.70	0.69	0.70	0.70	0.70	5.28	5.47	5.25	5.47	14.40	1.0	1.0	0.0	85.00
450	8.1	0.70	0.71	0.70	0.68	0.70	0.71	0.70	0.69	0.71	5.28	5.47	5.25	5.47	14.40	1.0	1.0	0.0	85.00
460	8.8	0.70	0.72	0.70	0.70	0.70	0.72	0.72	0.70	0.72	5.28	5.47	5.25	5.47	14.40	1.0	1.0	0.0	85.00
470	8.7	0.70	0.69	0.69	0.68	0.69	0.69	0.69	0.69	0.69	5.28	5.47	5.25	5.47	14.40	1.0	1.0	0.0	85.00
480	8.8	0.70	0.69	0.69	0.67	0.69	0.69	0.69	0.68	0.69	5.28	5.47	5.25	5.47	14.10	1.0	1.0	0.0	85.00
490	9.1	0.70	0.69	0.69	0.68	0.69	0.69	0.69	0.69	0.69	5.28	5.47	5.25	5.47	14.10	1.0	1.0	0.0	85.00
500	9.3	0.70	0.69	0.69	0.68	0.69	0.69	0.69	0.68	0.69	5.28	5.47	5.25	5.47	14.10	1.0	1.0	0.0	85.00
510	8.9	0.70	0.69	0.69	0.67	0.69	0.69	0.69	0.68	0.69	5.28	5.47	5.25	5.47	14.10	1.0	1.0	0.0	85.00
520	9.2	0.70	0.68	0.66	0.66	0.66	0.68	0.66	0.67	0.68	5.28	5.47	5.25	5.47	14.10	1.0	1.0	0.0	85.00
530	10.3	0.70	0.74	0.72	0.71	0.71	0.74	0.73	0.70	0.73	5.28	5.47	5.25	5.47	14.10	1.0	1.0	0.0	85.00
540	11.4	0.70	0.72	0.73	0.71	0.72	0.72	0.73	0.72	0.72	5.28	5.47	5.25	5.47	13.60	1.0	1.0	0.0	85.00
550	11.9	0.70	0.72	0.73	0.72	0.72	0.72	0.73	0.72	0.72	5.28	5.47	5.25	5.47	13.60	1.0	1.0	0.0	85.00
560	12.0	0.70	0.71	0.70	0.70	0.70	0.71	0.70	0.70	0.70	5.28	5.47	5.25	5.47	13.60	1.0	1.0	0.0	85.00
570	11.9	0.70	0.69	0.69	0.70	0.69	0.71	0.70	0.70	0.70	5.28	5.47	5.25	5.47	13.60	1.0	1.0	0.0	85.00
580	11.6	0.70	0.71	0.70	0.70	0.70	0.71	0.70	0.70	0.70	5.28	5.47	5.25	5.47	13.60	1.0	1.0	0.0	85.00
590	11.6	0.70	0.72	0.72	0.70	0.72	0.72	0.72	0.70	0.72	5.28	5.47	5.25	5.47	13.60	1.0	1.0	0.0	85.00
600	11.4	0.70	0.67	0.66	0.66	0.66	0.67	0.66	0.67	0.67	5.28	5.47	5.25	5.47	13.00	1.0	2.0	0.0	85.00
610	11.8	0.70	0.71	0.70	0.68	0.70	0.71	0.70	0.69	0.71	5.28	5.47	5.25	5.47	13.00	1.0	2.0	0.0	85.00
620	12.3	0.70	0.71	0.70	0.68	0.70	0.71	0.70	0.69	0.71	5.28	5.47	5.25	5.47	13.00	1.0	2.0	0.0	85.00
630	12.2	0.70	0.68	0.67	0.67	0.67	0.68	0.67	0.68	0.68	5.28	5.47	5.25	5.47	13.00	1.0	2.0	0.0	85.00
640	12.4	0.70	0.71	0.69	0.68	0.69	0.71	0.69	0.69	0.69	5.28	5.47	5.25	5.47	13.00	1.0	2.0	0.0	85.00
650	12.8	0.70	0.69	0.69	0.67	0.69	0.69	0.69	0.68	0.69	5.28	5.47	5.25	5.47	13.00	1.0	2.0	0.0	85.00
660	12.6	0.70	0.71	0.70	0.68	0.70	0.71	0.70	0.69	0.71	5.28	5.47	5.25	5.47	12.30	1.0	2.0	0.0	85.00
670	12.7	0.70	0.69	0.69	0.68	0.69	0.69	0.69	0.68	0.69	5.28	5.47	5.25	5.47	12.30	1.0	2.0	0.0	85.00
680	12.8	0.70	0.68	0.67	0.67	0.67	0.68	0.67	0.68	0.68	5.28	5.47	5.25	5.47	12.30	1.0	2.0	0.0	85.00
690	12.6	0.70	0.71	0.69	0.68	0.69	0.71	0.69	0.69	0.69	5.28	5.47	5.25	5.47	12.30	1.0	2.0	0.0	85.00
700	12.8	0.70	0.72	0.72	0.70	0.72	0.72	0.72	0.70	0.72	5.28	5.47	5.25	5.47	12.30	1.0	2.0	0.0	85.00
710	13.0	0.70	0.72	0.72	0.70	0.72	0.72	0.72	0.70	0.72	5.28	5.47	5.25	5.47	12.30	1.0	2.0	0.0	85.00
720	13.3	0.70	0.69	0.69	0.68	0.69	0.69	0.69	0.69	0.69	5.28	5.47	5.25	5.47	11.60	2.0	2.0	0.0	85.00
730	13.4	0.70	0.71	0.70	0.70	0.70	0.71	0.70	0.70	0.70	5.28	5.47	5.25	5.47	11.60	2.0	2.0	0.0	85.00
740	13.8	0.70	0.71	0.72	0.70	0.71	0.71	0.72	0.70	0.71	5.28	5.47	5.25	5.47	11.60	2.0	2.0	0.0	85.00
750	14.6	0.70	0.71	0.70	0.70	0.70	0.71	0.70	0.70	0.70	5.28	5.47	5.25	5.47	11.60	2.0	2.0	0.0	85.00
750	14.6	0.70	0.71	0.70	0.70	0.70	0.71	0.70	0.70	0.70	5.28	5.47	5.25	5.47	11.60	2.0	2.0	0.0	85.00
750	14.6	0.70	0.71	0.70	0.70	0.70	0.71	0.70	0.70	0.70	5.28	5.47	5.25	5.47	11.60	2.0	2.0	0.0	85.00
752	14.6	1.30	0.71	0.70	0.70	0.70	0.71	0.70	0.70	0.70	5.28	5.47	5.25	5.47	11.60	2.0	2.0	0.0	85.00
753	14.6	1.30	0.71	0.70	0.70	0.70	0.71	0.70	0.70	0.70	5.28	5.47	5.25	5.47	11.60	2.0	2.0	0.0	85.00
760	15.5	1.30	0.92	0.91	0.87	0.92	0.92	0.91	0.87	0.92	5.28	5.45	5.25	5.45	11.60	2.0	2.0	0.0	85.00
769	15.5	1.30	0.92	0.91	0.87	0.92	0.92	0.91	0.87	0.92	5.28	5.45	5.25	5.45	11.60	2.0	2.0	0.0	85.00
770	15.8	1.30	1.34	1.34	1.28	1.34	1.34	1.34	1.30	1.34	5.20	5.45	5.20	5.45	11.60	2.0	2.0	0.0	85.00
780	16.2	1.30	1.07	1.06	1.04	1.06	1.07	1.06	1.04	1.06	5.20	5.45	5.20	5.45	10.80	2.0	2.0	0.0	85.00
790	16.1	1.30	1.27	1.23	1.22	1.23	1.27	1.23	1.22	1.23	5.20	5.45	5.20	5.45	10.80	2.0	2.0	0.0	85.00
800	16.1	1.30	1.37	1.35	1.32	1.36	1.37	1.35	1.32	1.36	5.20	5.45	5.20	5.45	10.80	2.0	2.0	0.0	85.00
810	16.7	1.30	1.23	1.19	1.19	1.19	1.24	1.20	1.21	1.21	5.20	5.45	5.20	5.45	10.80	2.0	2.0	0.0	85.00
820	16.8	1.30	1.31	1.29	1.29	1.29	1.31	1.29	1.30	1.31	5.20	5.45	5.20	5.45	10.80	2.0	2.0	0.0	85.00
830	17.0	1.30	1.34	1.33	1.32	1.34	1.34	1.33	1.34	1.34	5.20	5.45	5.20	5.45	10.80	2.0	2.0	0.0	85.00
840	17.2	1.30	1.31	1.30	1.29	1.31	1.31	1.30	1.31	1.31	5.20	5.45	5.20	5.45	9.90	2.0	3.0	0.0	85.00
850	17.4	1.30	1.31	1.31	1.31	1.31	1.31	1.31	1.32	1.31	5.20	5.45	5.20	5.45	9.90	2.0	3.0	0.0	85.00
860	17.4	1.30	1.30	1.30	1.29	1.30	1.30	1.30	1.31	1.30	5.20	5.45	5.20	5.45	9.90	2.0	3.0	0.0	85.00
870	17.6	1.30	1.28	1.29	1.28	1.28	1.30	1.29	1.30	1.30	5.20	5.45	5.20	5.45	9.90	2.0	3.0	0.0	85.00
880	17.7	1.30	1.31	1.29	1.29	1.29	1.31	1.29	1.30	1.31	5.20	5.45	5.20	5.45	9.90	2.0	3.0	0.0	85.00
890	17.9	1.30	1.34	1.31	1.31	1.31	1.34	1.31	1.32	1.31	5.20	5.45	5.20	5.45	9.90	2.0	3.0	0.0	85.00
900	17.9	1.30	1.31	1.30	1.31	1.31	1.31	1.30	1.31	1.31	5.20	5.45	5.20	5.45	9.20	3.0	3.0	0.0	85.00
910	18.2	1.30	1.32	1.31	1.32	1.32	1.32	1.31	1.32	1.32	5.20	5.45	5.20	5.45	9.20	3.0	3.0	0.0	85.00
920	17.8	1.30	1.31	1.30	1.31	1.31	1.31	1.30	1.31	1.31	5.20	5.45	5.20	5.45	9.20	3.0	3.0	0.0	85.00
930	18.1	1.30	1.31	1.29	1.29	1.29	1.31	1.29	1.30	1.31	5.20	5.45	5.20	5.45	9.20	3.0	3.0	0.0	85.00
940	18.1	1.30	1.32	1.30	1.31	1.32	1.32	1.30	1.31	1.32	5.20	5.45	5.20	5.45	9.20	3.0	3.0	0.0	85.00
950	17.9	1.30	1.32	1.30	1.29	1.29	1.32	1.30	1.31	1.32	5.20	5.45	5.20	5.45	9.20	3.0	3.0	0.0	85.00
960	18.4	1.30	1.31	1.29	1.29	1.29	1.31	1.29	1.31	1.31	5.20	5.45	5.20	5.45	8.60	3.0	4.0	0.0	85.00
970	18.8	1.30	1.34	1.31	1.32	1.31	1.34	1.31	1.32	1.31	5.20	5.45	5.20	5.45	8.60	3.0	4.0	0.0	85.00
980	19.2	1.30	1.32	1.31	1.32	1.32	1.32	1.31	1.32	1.32	5.20	5.45	5.20	5.45	8.60	3.0	4.0	0.0	85.00
990	19.3	1.30	1.31	1.30	1.31	1.31	1.31	1.30	1.32	1.31	5.20	5.45	5.20	5.45	8.60	3.0	4.0	0.0	85.00
1000	19.3	1.30	1.31	1.30	1.31	1.31	1.31	1.30	1.32	1.31	5.20	5.45	5.20	5.45	8.60	3.0	4.0	0.0	85.00
1010	19.4	1.30	1.31	1.29	1.29	1.29	1.31	1.30	1.31	1.31	5.20	5.45	5.20	5.45	8.60	3.0	4.0	0.0	85.00
1020	19.8	1.30	1.32	1.30	1.31	1.32	1.32	1.30	1.32	1.32	5.20	5.45	5.20	5.45	8.20	4.0	4.0	0.0	85.00
1030	20.1	1.30	1.32	1.31	1.32	1.32	1.32	1.31	1.32	1.32	5.20	5.45	5.20	5.45	8.20	4.0	4.0	0.0	85.00
1040	20.3	1.30	1.30	1.27	1.28	1.27	1.30	1.27	1.28	1.27	5.20	5.45	5.20	5.45	8.20	4.0	4.0	0.0	85.00
1050	20.4	1.30	1.31	1.29	1.28	1.29	1.31	1.29	1.30	1.31	5.20	5.45	5.20	5.45	8.20	4.0	4.0	0.0	85.00
1060	20.7	1.30	1.32	1.30	1.29	1.29	1.32	1.30	1.31	1.32	5.20	5.45	5.20	5.45	8.20	4.0	4.0	0.0	85.00
1070	21.1	1.30	1.34	1.31	1.32	1.31	1.34	1.31	1.32	1.31	5.20	5.45	5.20	5.45	8.20	4.0	4.0	0.0	85.00
1080	21.3	1.30	1.31	1.30	1.29	1.31	1.31	1.30	1.31	1.31	5.20	5.45	5.20	5.45	7.90	4.0	5.0	0.0	85.00
1090	21.7	1.30	1.32	1.30	1.31	1.32	1.32	1.31	1.32	1.32	5.20	5.45	5.20	5.45	7.90	4.0	5.0	0.0	85.00
1100	21.9	1.30	1.32	1.31	1.32	1.32	1.32	1.31	1.32	1.32	5.20	5.45	5.20	5.45	7.90	4.0	5.0	0.0	85.00
1110	22.0	1.30	1.31	1.29	1.29	1.29	1.31	1.29	1.31	1.31	5.20	5.45	5.20	5.45	7.90	4.0	5.0	0.0	85.00
1120	22.2	1.30	1.32	1.29	1.28	1.29	1.32	1.29	1.30	1.29	5.20	5.45	5.20	5.45	7.90	4.0	5.0	0.0	85.00
1130	22.2	1.30	1.31	1.27	1.28	1.27	1.31	1.29	1.30	1.31	5.20	5.45	5.20	5.45	7.90	4.0	5.0	0.0	85.00
1140	21.9	1.30	1.32	1.30	1.29	1.29	1.32	1.30	1.30	1.30	5.20	5.45	5.20	5.45	7.70	5.0	6.0	0.0	85.00
1150	22.1	1.30	1.35	1.31	1.31	1.31	1.35	1.31	1.32	1.31	5.20	5.45	5.20	5.45	7.70	5.0	6.0	0.0	85.00
1160	22.1	1.30	1.32	1.30	1.29	1.29	1.32	1.30	1.31	1.32	5.20	5.45	5.20	5.45	7.70	5.0	6.0	0.0	85.00
1170	22.2	1.30	1.32	1.31	1.31	1.31	1.34	1.31	1.32	1.31	5.20	5.45	5.20	5.45	7.70	5.0	6.0	0.0	85.00
1180	22.5	1.30	1.31	1.30	1.29	1.31	1.31	1.30	1.31	1.31	5.20	5.45	5.20	5.45	7.70	5.0	6.0	0.0	85.00
1190	22.1	1.30	1.30	1.27	1.28	1.27	1.30	1.27	1.28	1.27	5.20	5.45	5.20	5.45	7.70	5.0	6.0	0.0	85.00
1200	22.3	1.30	1.31	1.27	1.28	1.27	1.31	1.27	1.28	1.27	5.20	5.45	5.20	5.45	7.50	5.0	6.0	0.0	85.00
1210	22.2	1.30	1.35	1.31	1.31	1.31	1.35	1.31	1.32	1.31	5.20	5.45	5.20	5.45	7.50	5.0	6.0	0.0	85.00
1220	22.0	1.30	1.30	1.27	1.27	1.27	1.30	1.27	1.28	1.27	5.20	5.45	5.20	5.45	7.50	5.0	6.0	0.0	85.00
1230	22.3	1.30	1.32	1.30	1.31	1.32	1.32	1.30	1.32	1.32	5.20	5.45	5.20	5.45	7.50	5.0	6.0	0.0	85.00
